IATA_CODE,AIRLINE_NAME,AIRLINE,LOAD_TIMESTAMP,AIRLINE_CATEGORY,CODE_VALIDATION,RECORD_DATE
UA,United Airlines,United Air Lines Inc.,2025-11-26 01:23:13.769 -0800,MAJOR,VALID,2025-11-26
AA,American Airlines,American Airlines Inc.,2025-11-26 01:23:13.769 -0800,MAJOR,VALID,2025-11-26
US,Us Airways Inc.,US Airways Inc.,2025-11-26 01:23:13.769 -0800,REGIONAL,VALID,2025-11-26
F9,Frontier Airlines Inc.,Frontier Airlines Inc.,2025-11-26 01:23:13.769 -0800,LOW_COST,VALID,2025-11-26
B6,Jetblue Airways,JetBlue Airways,2025-11-26 01:23:13.769 -0800,LOW_COST,VALID,2025-11-26
OO,Skywest Airlines Inc.,Skywest Airlines Inc.,2025-11-26 01:23:13.769 -0800,REGIONAL,VALID,2025-11-26
AS,Alaska Airlines Inc.,Alaska Airlines Inc.,2025-11-26 01:23:13.769 -0800,REGIONAL,VALID,2025-11-26
NK,Spirit Air Lines,Spirit Air Lines,2025-11-26 01:23:13.769 -0800,LOW_COST,VALID,2025-11-26
WN,Southwest Airlines Co.,Southwest Airlines Co.,2025-11-26 01:23:13.769 -0800,MAJOR,VALID,2025-11-26
DL,Delta Airlines,Delta Air Lines Inc.,2025-11-26 01:23:13.769 -0800,MAJOR,VALID,2025-11-26
EV,Atlantic Southeast Airlines,Atlantic Southeast Airlines,2025-11-26 01:23:13.769 -0800,REGIONAL,VALID,2025-11-26
HA,Hawaiian Airlines Inc.,Hawaiian Airlines Inc.,2025-11-26 01:23:13.769 -0800,REGIONAL,VALID,2025-11-26
MQ,American Eagle Airlines Inc.,American Eagle Airlines Inc.,2025-11-26 01:23:13.769 -0800,REGIONAL,VALID,2025-11-26
VX,Virgin America,Virgin America,2025-11-26 01:23:13.769 -0800,LOW_COST,VALID,2025-11-26
