IATA_CODE,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,LOAD_TIMESTAMP,AIRPORT_SIZE_CATEGORY,REGION,CONTINENT_GROUP,LOCATION_VALIDATION,RECORD_YEAR
ABE,Allentown,PA,USA,40.65236,-75.4404,2025-11-26 03:35:24.903 -0800,REGIONAL,NORTHEAST,NORTH_AMERICA,VALID,2025
ABI,Abilene,TX,USA,32.41132,-99.6819,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
ABQ,Albuquerque,NM,USA,35.04022,-106.60919,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
ABR,Aberdeen,SD,USA,45.44906,-98.42183,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
ABY,Albany,GA,USA,31.53552,-84.19447,2025-11-26 03:35:24.903 -0800,REGIONAL,SOUTH,NORTH_AMERICA,VALID,2025
ACK,Nantucket,MA,USA,41.25305,-70.06018,2025-11-26 03:35:24.903 -0800,REGIONAL,NORTHEAST,NORTH_AMERICA,VALID,2025
ACT,Waco,TX,USA,31.61129,-97.23052,2025-11-26 03:35:24.903 -0800,MEDIUM,SOUTH,NORTH_AMERICA,VALID,2025
ACV,Arcata/Eureka,CA,USA,40.97812,-124.10862,2025-11-26 03:35:24.903 -0800,LARGE,WEST,NORTH_AMERICA,VALID,2025
ACY,Atlantic City,NJ,USA,39.45758,-74.57717,2025-11-26 03:35:24.903 -0800,REGIONAL,NORTHEAST,NORTH_AMERICA,VALID,2025
ADK,Adak,AK,USA,51.87796,-176.64603,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
ADQ,Kodiak,AK,USA,57.74997,-152.49386,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
AEX,Alexandria,LA,USA,31.32737,-92.54856,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
AGS,Augusta,GA,USA,33.36996,-81.9645,2025-11-26 03:35:24.903 -0800,REGIONAL,SOUTH,NORTH_AMERICA,VALID,2025
AKN,King Salmon,AK,USA,58.6768,-156.64922,2025-11-26 03:35:24.903 -0800,REGIONAL,INTERNATIONAL,NORTH_AMERICA,VALID,2025
ALB,Albany,NY,USA,42.74812,-73.80298,2025-11-26 03:35:24.903 -0800,MEDIUM,NORTHEAST,NORTH_AMERICA,VALID,2025
