DAY_OF_WEEK,FLIGHT_NUMBER,TAIL_NUMBER,SCHEDULED_DEPARTURE,DEPARTURE_TIME,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,YEAR,MONTH,DAY,DEPARTURE_DELAY,ARRIVAL_DELAY,CANCELLED,DIVERTED,AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,TOTAL_DELAY,LOAD_TIMESTAMP,DELAY_CATEGORY,DISTANCE_CATEGORY,DAY_TYPE,FLIGHT_STATUS,WEATHER_IMPACT,ON_TIME_FLAG,RECORD_DATE
6,1580,N358JB,1618,1648,12,1700,145,129,114,899,1854,3,1843,1857,2015,1,10,30,14,0,0,B6,FLL,DCA,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,44,2025-11-27 05:45:15.100 -0800,MEDIUM,MEDIUM_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,0,2025-11-27
6,3444,N918MQ,1618,1615,13,1628,137,140,109,690,1817,18,1835,1835,2015,1,10,-3,0,0,0,MQ,BMI,DFW,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,-3,2025-11-27 05:45:15.100 -0800,NO_DELAY,MEDIUM_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,1,2025-11-27
6,216,N439UA,1619,1620,15,1635,213,184,164,1235,1719,5,1752,1724,2015,1,10,1,-28,0,0,UA,DFW,LAX,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,-27,2025-11-27 05:45:15.100 -0800,NO_DELAY,MEDIUM_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,1,2025-11-27
6,2152,N143DA,1619,1617,12,1629,294,261,245,1892,1734,4,1813,1738,2015,1,10,-2,-35,0,0,DL,ATL,SAN,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,-37,2025-11-27 05:45:15.100 -0800,NO_DELAY,LONG_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,1,2025-11-27
6,65,N340NW,1619,1619,13,1632,113,122,82,594,1754,27,1812,1821,2015,1,10,0,9,0,0,DL,ATL,MIA,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,9,2025-11-27 05:45:15.100 -0800,SHORT,MEDIUM_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,0,2025-11-27
6,1509,N6716C,1619,1608,17,1625,215,206,184,1310,1829,5,1854,1834,2015,1,10,-11,-20,0,0,DL,MCO,MSP,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,-31,2025-11-27 05:45:15.100 -0800,NO_DELAY,MEDIUM_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,1,2025-11-27
6,5658,N719SK,1620,1620,18,1638,41,44,17,73,1655,9,1701,1704,2015,1,10,0,3,0,0,OO,DEN,COS,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,3,2025-11-27 05:45:15.100 -0800,SHORT,SHORT_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,0,2025-11-27
6,793,N701UW,1620,1616,14,1630,121,114,95,575,1705,5,1721,1710,2015,1,10,-4,-11,0,0,US,CLT,STL,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,-15,2025-11-27 05:45:15.100 -0800,NO_DELAY,MEDIUM_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,1,2025-11-27
6,2031,N959UW,1620,1619,15,1634,146,124,104,666,1818,5,1846,1823,2015,1,10,-1,-23,0,0,US,PHL,ATL,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,-24,2025-11-27 05:45:15.100 -0800,NO_DELAY,MEDIUM_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,1,2025-11-27
6,2036,N766US,1620,1619,15,1634,106,100,82,603,1756,3,1806,1759,2015,1,10,-1,-7,0,0,US,CLT,SYR,NONE,0.00000,0.00000,0.00000,0.00000,0.00000,-8,2025-11-27 05:45:15.100 -0800,NO_DELAY,MEDIUM_HAUL,WEEKDAY,COMPLETED,NO_WEATHER_IMPACT,1,2025-11-27
